12/03/2019 11:10:56 PM - root - INFO - TOPIC:Database Users; EVENT:Connection successful;
12/03/2019 11:10:56 PM - root - ERROR - TOPIC:Database Users; EVENT:Connection failed;
12/03/2019 11:10:56 PM - root - INFO - TOPIC:Database Users; EVENT:Connection closed;
12/03/2019 11:10:56 PM - root - INFO - TOPIC:Database Users; EVENT:Connection attemp;
12/03/2019 11:10:56 PM - root - INFO - TOPIC:Database Users; EVENT:Connection successful;
12/03/2019 11:10:56 PM - root - INFO - TOPIC:Database Users; EVENT:Connection closed;
12/03/2019 11:11:08 PM - root - INFO - TOPIC:Database Users; EVENT:Connection attemp;
12/03/2019 11:11:08 PM - root - INFO - TOPIC:Database Users; EVENT:Connection successful;
12/03/2019 11:11:08 PM - root - ERROR - TOPIC:Database Users; EVENT:Connection failed;
12/03/2019 11:11:08 PM - root - INFO - TOPIC:Database Users; EVENT:Connection closed;
12/03/2019 11:11:08 PM - root - INFO - TOPIC:Database Users; EVENT:Connection attemp;
12/03/2019 11:11:08 PM - root - INFO - TOPIC:Database Users; EVENT:Connection successful;
12/03/2019 11:11:08 PM - root - INFO - TOPIC:Database Users; EVENT:Connection closed;
12/03/2019 11:12:08 PM - root - INFO - TOPIC:Database Users; EVENT:Connection attemp;
12/03/2019 11:12:08 PM - root - INFO - TOPIC:Database Users; EVENT:Connection successful;
12/03/2019 11:12:08 PM - root - ERROR - TOPIC:Database Users; EVENT:Connection failed;
12/03/2019 11:12:08 PM - root - INFO - TOPIC:Database Users; EVENT:Connection closed;
12/03/2019 11:12:08 PM - root - INFO - TOPIC:Database Users; EVENT:Connection attemp;
12/03/2019 11:12:08 PM - root - INFO - TOPIC:Database Users; EVENT:Connection successful;
12/03/2019 11:12:08 PM - root - INFO - TOPIC:Database Users; EVENT:Connection closed;
12/03/2019 11:12:34 PM - root - INFO - TOPIC:Database Users; EVENT:Connection attemp;
12/03/2019 11:12:34 PM - root - INFO - TOPIC:Database Users; EVENT:Connection successful;
12/03/2019 11:12:34 PM - root - ERROR - TOPIC:Database Users; EVENT:Connection failed;
12/03/2019 11:12:34 PM - root - INFO - TOPIC:Database Users; EVENT:Connection closed;
12/03/2019 11:12:34 PM - root - INFO - TOPIC:Database Users; EVENT:Connection attemp;
12/03/2019 11:12:34 PM - root - INFO - TOPIC:Database Users; EVENT:Connection successful;
12/03/2019 11:12:34 PM - root - INFO - TOPIC:Database Users; EVENT:Connection closed;
12/03/2019 11:13:07 PM - root - INFO - TOPIC:Database Users; EVENT:Connection attemp;
12/03/2019 11:13:07 PM - root - INFO - TOPIC:Database Users; EVENT:Connection successful;
12/03/2019 11:13:07 PM - root - ERROR - TOPIC:Database Users; EVENT:Connection failed;
12/03/2019 11:13:07 PM - root - INFO - TOPIC:Database Users; EVENT:Connection closed;
12/03/2019 11:13:07 PM - root - INFO - TOPIC:Database Users; EVENT:Connection attemp;
12/03/2019 11:13:07 PM - root - INFO - TOPIC:Database Users; EVENT:Connection successful;
12/03/2019 11:13:07 PM - root - INFO - TOPIC:Database Users; EVENT:Connection closed;
12/03/2019 11:13:22 PM - root - INFO - TOPIC:Database Users; EVENT:Connection attemp;
12/03/2019 11:13:22 PM - root - INFO - TOPIC:Database Users; EVENT:Connection successful;
12/03/2019 11:13:22 PM - root - ERROR - TOPIC:Database Users; EVENT:Connection failed;
12/03/2019 11:13:22 PM - root - INFO - TOPIC:Database Users; EVENT:Connection closed;
12/03/2019 11:13:22 PM - root - INFO - TOPIC:Database Users; EVENT:Connection attemp;
12/03/2019 11:13:22 PM - root - INFO - TOPIC:Database Users; EVENT:Connection successful;
12/03/2019 11:13:22 PM - root - INFO - TOPIC:Database Users; EVENT:Connection closed;
12/03/2019 11:14:00 PM - root - INFO - TOPIC:Database Users; EVENT:Connection attemp;
12/03/2019 11:14:00 PM - root - INFO - TOPIC:Database Users; EVENT:Connection successful;
12/03/2019 11:14:00 PM - root - ERROR - TOPIC:Database Users; EVENT:Connection failed;
